id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
365	"xie, lingtian"	-0.916	0.126	8	11	11	1	2021
366	"xiong, haoran"	0.0898	0.8415	37	5	5	1	2020
367	"xu, zhe"	0.5341	-0.5533	22	7	7	1	2018
368	"xue, wen"	0.1467	0.8312	37	5	5	1	2020
369	"yan, zhenhua"	-0.4133	0.1678	30	6	6	1	2021
370	"yang, hui"	0.1148	0.8153	37	5	5	1	2020
371	"yang, huilin"	-0.6126	-0.4577	3	8	8	1	2020
372	"yang, shouye"	0.0539	-0.2304	11	6	6	1	2017
373	"ye, nan"	0.8481	0.1774	34	5	5	1	2019
374	"yeung, leo"	0.3291	0.1981	1	12	12	1	2021
375	"yin, daqiang"	0.0895	-0.212	11	6	6	1	2017
376	"yin, liyun"	-0.9393	-0.2828	20	8	9	2	2018.5
377	"young, thomas"	-0.1901	-0.6787	17	8	8	1	2017
378	"yuan, peng"	1.0115	-0.3357	24	7	7	1	2021
379	"zhang, guangsheng"	-0.1888	-0.4076	15	7	7	1	2021
380	"zhang, nan"	0.5005	-0.5501	22	7	7	1	2018
381	"zhang, rui"	0.5774	0.1622	35	5	5	1	2020
382	"zhang, shanshan"	-0.1723	-0.273	15	8	11	2	2019
383	"zhang, shenghu"	0.8328	0.6887	44	2	2	1	2021
384	"zhang, xingli"	1.0389	-0.316	24	7	7	1	2021
385	"zhang, yan"	0.845	0.6692	44	2	2	1	2021
386	"zhang, yingying"	0.1197	0.8456	37	5	5	1	2020
387	"zhang, yongli"	0.3714	0.6334	12	9	9	1	2020
388	"zhang, yu ting"	-0.9921	0.1416	8	11	11	1	2021
389	"zhou, chunyu"	1.0052	-0.2969	24	7	7	1	2021
390	"zhou, jiajie"	-0.4626	-0.5172	3	6	6	1	2019
391	"zhou, weishang"	-0.1614	0.255	28	6	6	1	2021
392	"zhu, wenbin"	-0.1651	-0.3199	15	9	18	3	2019.6667
393	"zou, hua"	-0.1289	-0.333	15	9	18	3	2019.6667
394	"zou, wei"	0.9792	-0.3258	24	7	7	1	2021
395	"zwiener, christian"	0.5064	0.418	9	7	7	1	2020
396	"álvarez, elvira"	-0.1166	-0.0017	13	9	9	1	2021
397	"özkaraca, mustafa"	-0.4145	0.4406	32	5	5	1	2020
